5
100
string   number   number   number   number
Id Age Math Science Malay
11920100   19   93   92   87
11920111   20   76   87   75
11913096   22   75   74   53
11910224   20   98   97   77
11926529   18   59   78   46
11918652   19   68   87   62
11915689   28   96   68   80
11926665   22   79   50   54
11914493   20   88   78   95
11916255   21   87   65   80
11924464   23   90   71   83
11910982   23   95   73   48
11915396   25   66   86   72
11910579   20   80   95   80
11929545   21   85   85   90
11922618   19   98   95   91
11913119   22   80   85   78
11912950   24   81   75   90
11916958   21   61   75   80
11919934   24   80   65   94
11921183   22   91   85   70
11911812   19   54   75   89
11911514   20   42   55   87
11927246   21   41   75   80
11918894   25   85   53   82
11917640   26   71   65   61
11914643   19   91   85   98
11917472   20   13   54   50
11917565   21   81   75   90
11916498   23   61   45   70
11922472   21   21   35   43
11918146   18   82   52   78
11922822   22   59   45   87
11915618   25   71   35   60
11916282   27   71   65   54
11915781   21   72   45   67
11919667   18   24   35   89
11916672   20   17   14   34
11911688   19   11   45   40
1220307734   20   71   35   76
1220301888   19   43   55   73
1220303060   21   31   5   45
1220305913   18   4   70   90
1220306242   21   34   57   74
1220304497   18   61   75   80
1220302834   20   56   83   78
1220301020   21   73   65   71
1220306269   23   83   78   55
1220305711   21   41   75   67
1220301938   27   81   55   83
1220307995   22   71   65   78
1220307380   24   95   91   98
1220303195   19   45   63   77
1220304451   20   69   75   78
1220305448   24   62   55   70
1220302684   21   42   58   65
1220302572   20   31   71   88
1220303431   21   23   45   70
1220303943   24   41   70   54
1220301191   20   91   45   88
1220306322   19   41   35   78
1220307418   21   82   55   89
1220302284   20   43   65   91
1220306128   25   71   45   89
1220305033   21   31   55   75
1220302396   21   71   85   89
1220307788   28   71   85   65
1220301177   19   91   77   89
1220301567   21   94   74   88
1220303230   27   90   92   98
1220307277   24   81   75   90
1220304987   19   18   55   67
1220301647   18   36   54   80
1220301433   21   91   54   70
1220303016   23   81   85   97
1221302048   21   71   85   80
1221301486   19   61   76   83
1221304634   24   81   75   90
1221305533   24   89   75   97
1221303855   20   80   95   80
1221303792   18   80   75   90
1221303787   22   90   95   98
1221305200   20   85   85   70
1221303810   23   70   85   99
1221306660   21   93   85   94
1221304483   19   65   75   80
1221307958   25   92   87   98
1221302563   23   88   85   91
1221307000   21   50   65   75
1221307522   20   15   43   56
1221301269   23   41   55   85
1221303303   20   40   58   70
1221305094   19   60   75   80
1221303663   20   77   65   80
1221304837   18   90   95   80
1221304017   23   80   95   81
1221305276   22   72   66   72
1221305424   23   48   51   80
1221305660   21   88   90   75
1221302345   19   20    2   20
